注文番号,注文日時,注文者ID,商品名,注文金額,注文個数,定期購入フラグ
R-20260401-008,2026-04-02 00:27:29,cust_208,TIERRA 犬用デンタルケア 30g,4200,1,1
R-20260401-005,2026-04-02 03:30:53,cust_205,TIERRA 犬用デンタルケア 30g,3800,1,0
R-20260401-041,2026-04-02 03:41:59,cust_241,TIERRA 犬用デンタルケア 30g,4000,1,1
R-20260401-027,2026-04-02 11:41:40,cust_227,TIERRA 犬用デンタルケア 30g,3900,1,0
R-20260401-040,2026-04-02 17:35:10,cust_240,TIERRA 犬用デンタルケア 30g,3900,1,0
R-20260401-043,2026-04-02 23:33:27,cust_243,TIERRA 犬用デンタルケア 30g,3900,1,0
R-20260401-023,2026-04-03 06:54:15,cust_223,TIERRA 犬用デンタルケア 30g,4200,1,0
R-20260401-017,2026-04-03 15:01:42,cust_217,TIERRA 犬用デンタルケア 30g,4100,1,0
R-20260401-006,2026-04-03 15:34:53,cust_206,TIERRA 犬用デンタルケア 30g,3900,1,0
R-20260401-018,2026-04-03 17:20:28,cust_218,TIERRA 犬用デンタルケア 30g,4000,1,1
R-20260401-022,2026-04-04 09:42:59,cust_222,TIERRA 犬用デンタルケア 30g,4100,1,0
R-20260401-002,2026-04-04 18:17:12,cust_202,TIERRA 犬用デンタルケア 30g,3800,1,1
R-20260401-048,2026-04-04 18:20:26,cust_248,TIERRA 犬用デンタルケア 30g,3900,1,1
R-20260401-047,2026-04-04 20:13:43,cust_247,TIERRA 犬用デンタルケア 30g,4000,1,0
R-20260401-015,2026-04-05 03:34:24,cust_215,TIERRA 犬用デンタルケア 30g,3900,1,0
R-20260401-013,2026-04-05 06:00:29,cust_213,TIERRA 犬用デンタルケア 30g,4100,1,0
R-20260401-032,2026-04-05 07:45:10,cust_232,TIERRA 犬用デンタルケア 30g,4000,1,0
R-20260401-035,2026-04-05 12:41:43,cust_235,TIERRA 犬用デンタルケア 30g,4200,1,0
R-20260401-026,2026-04-06 01:00:58,cust_226,TIERRA 犬用デンタルケア 30g,3800,1,0
R-20260401-009,2026-04-06 04:49:52,cust_209,TIERRA 犬用デンタルケア 30g,4200,1,0
R-20260401-045,2026-04-06 12:51:50,cust_245,TIERRA 犬用デンタルケア 30g,4100,1,0
R-20260401-039,2026-04-06 16:56:06,cust_239,TIERRA 犬用デンタルケア 30g,4000,1,0
R-20260401-007,2026-04-07 00:32:05,cust_207,TIERRA 犬用デンタルケア 30g,4200,1,0
R-20260401-029,2026-04-07 00:36:37,cust_229,TIERRA 犬用デンタルケア 30g,3800,1,0
R-20260401-036,2026-04-07 07:36:45,cust_236,TIERRA 犬用デンタルケア 30g,3900,1,0
R-20260401-001,2026-04-07 07:39:35,cust_201,TIERRA 犬用デンタルケア 30g,3900,1,0
R-20260401-050,2026-04-07 18:03:29,cust_250,TIERRA 犬用デンタルケア 30g,4200,1,0
R-20260401-020,2026-04-07 19:05:40,cust_220,TIERRA 犬用デンタルケア 30g,3800,1,0
R-20260401-034,2026-04-07 20:31:33,cust_234,TIERRA 犬用デンタルケア 30g,3800,1,0
R-20260401-038,2026-04-07 22:15:21,cust_238,TIERRA 犬用デンタルケア 30g,4200,1,0
R-20260401-012,2026-04-08 03:03:28,cust_212,TIERRA 犬用デンタルケア 30g,3800,1,0
R-20260401-028,2026-04-08 09:34:50,cust_228,TIERRA 犬用デンタルケア 30g,3800,1,0
R-20260401-024,2026-04-08 11:47:19,cust_224,TIERRA 犬用デンタルケア 30g,4200,1,0
R-20260401-016,2026-04-09 13:04:49,cust_216,TIERRA 犬用デンタルケア 30g,3800,1,0
R-20260401-014,2026-04-09 15:12:37,cust_214,TIERRA 犬用デンタルケア 30g,4000,1,0
R-20260401-019,2026-04-09 17:22:07,cust_219,TIERRA 犬用デンタルケア 30g,4200,1,0
R-20260401-033,2026-04-09 23:57:36,cust_233,TIERRA 犬用デンタルケア 30g,3900,1,0
R-20260401-025,2026-04-10 03:40:03,cust_225,TIERRA 犬用デンタルケア 30g,4200,1,0
R-20260401-030,2026-04-10 14:26:22,cust_230,TIERRA 犬用デンタルケア 30g,4000,1,0
R-20260401-046,2026-04-10 23:28:20,cust_246,TIERRA 犬用デンタルケア 30g,4100,1,0
R-20260401-042,2026-04-11 02:41:43,cust_242,TIERRA 犬用デンタルケア 30g,4000,1,0
R-20260401-010,2026-04-11 13:23:16,cust_210,TIERRA 犬用デンタルケア 30g,3900,1,0
R-20260401-011,2026-04-12 06:40:59,cust_211,TIERRA 犬用デンタルケア 30g,4200,1,0
R-20260401-031,2026-04-12 09:07:50,cust_231,TIERRA 犬用デンタルケア 30g,4000,1,0
R-20260401-021,2026-04-12 12:38:03,cust_221,TIERRA 犬用デンタルケア 30g,4200,1,0
R-20260401-037,2026-04-12 14:17:09,cust_237,TIERRA 犬用デンタルケア 30g,4100,1,0
R-20260401-003,2026-04-14 14:41:56,cust_203,TIERRA 犬用デンタルケア 30g,3800,1,0
R-20260401-049,2026-04-15 00:01:14,cust_249,TIERRA 犬用デンタルケア 30g,4200,1,0
R-20260401-044,2026-04-15 03:24:22,cust_244,TIERRA 犬用デンタルケア 30g,4000,1,0
R-20260401-004,2026-04-15 16:59:12,cust_204,TIERRA 犬用デンタルケア 30g,4100,1,0
